product-return
product
nonreturners
approach
attempt
result
number
effort
example
become
way
justify
point
represent
future
case
focus
show
ignore
reason
instance
good
return
shift
class-action
thing
brick-and-mortar
action
time
individual
thats
change
opportunity
one
see
problem
everything
furthermore
people
help
course
