chance
advise
offer
assortment
dont
omnichannel
havent
option
opportunity
show
finding
course
variety
day
choice
trade-off
store
work
interest
time
exception
use
need
in-store
approach
year
theyve
note
consideration
difference
thats
become
answer
theyd
affect
explanation
question
there
change
time-series
moment
example
move
point
today
reason
people
circumstance
matter
