collaboration
partnership
collaborate
initiative
success
co-creation
partner
topic
university-relations
competence/capability
relationship
university
creation
stage
hoechst
bioprocess
approach
insight
proto-startups
expertise
relation
selection
today
work
answer
influence
instance
chosen
early-stage
focus
solve
example
emphasis
addition
variety
future
course
step
experience
time
importance
problem-solving
choice
effort
help
idea
consideration
knowledge
wish
opportunity
question
expectation
promise
impact
part
change
whats
issue
finding
right
shift
problem
point
side
reason
place
likewise
