offer
choice
kahneman
comparison
solve
opportunity
point
course
question
argue
envision
stay
day
decision-makers
example
avoid
desire
conclusion
imagination
assumption
today
idea
answer
reality
correct
problem
situation
see
others
use
life
belief
future
anyone
opinion
concern
effort
something
imagine
people
nobody
decision
move
mind
keep
time
thinking
