shareholder
value
likelihood
investment
corporate-shareholder
risk
value-creation
interest
expectation
consideration
issue
investor
business
result
company
objective
corporate-investor
contribution
bringing
question
explanation
mean
concern
offering
offer
success
creation
reason
purpose
situation
suggestion
begin
time
future
call
benefit
us
advantage
opportunity
majority
