consumer
product
thats
question
business
consumer-innovator
article
issue
hippel
time
money
individual
share
consumer-innovators
aspect
bit
people
marketplace
think
variety
extent
creativity
world
problem
there
something
passion
need
spot
example
insight
try
market
havent
chance
meet
success
change
night
doubt
countless
innovator
let
directormit
management
company
way
initiative
leverage
customer

