year
way
brynjolfsson
management
information
technology
company
business
thing
capability
described
issue
number
article
use
manage
matter
david
jeonghye
offer
insight
e-commerce
mirchandani
ice-cream
approach
kiron
pamela
result
organization
paul
explain
aspect
differs
peter
point
benefit
ability
//sloanreview
edu/data-analytics
blog
director\nmit
mess
change
assumption
example
market
messy
problem
put
part
