understand
consider
understanding
regard
reason
doubt
transaction-specific
imply
desire
argue
sense
consideration
realize
wish
relate
comprehend
point-to-point
youll
explain
strive
particular
customer-interaction
willingness
evaluate
implies
objective
acknowledge
something
think
fact
want
anticipate
opinion
value-adding
decide
suppose
buyer-seller
certainty
standpoint
decision-making
justify
motivates
matter
extent
assume
therefore
necessity
knowledge
trust
need
