regard
importance
relation
relevance
fundamental
understanding
significance
moreover
necessity
knowledge
notion
insight
prove
extent
implication
relate
assertion
existence
absence
respect
perspective
likewise
finding
locate
assumption
furthermore
consideration
inability
clarify
lack
argue
consequence
discover
hence
theyve
describe
truth
sense
belief
concern
concept
recognize
whereas
help
latter
learn
bring
brought
need
appreciate
