communicate
people
communication
ability
demonstrate
others
capability
perception
convey
problem
describe
regard
approach
consider
dont
lack
belief
person
context
arent
begin
werent
initiative
effort
success
question
sense
issue
emphasis
opportunity
manner
cause
lot
doesnt
use
opinion
reason
versa
decision
consideration
way
theyre
embody
consequence
promise
mistake
expectation
job
situation
hope
thing
idea
spite
today
example
change
time
part
work
significance
whereas
something
