mentor
mentee
mentorship
leadership
career
recommendation
promotion
advice
sponsorship
board
sponsor
role
behavior
coauthor
course
practice
fall
strategy
trzebiatowski
mccluney
endorsement
career-advancing
reevaluate
colleague
job
class
advancement
attitude
level
relationship
interviewee
obstacle
reconsider
society
project
awareness
support
leader
suggestion
opportunity
nancy
repeat
work
interruption
exception
minority
impediment
courtney
language
position
help
response
difficulty
perspective
ok
time
call
experience
confirmation
remark
frustration
tendency
shortcoming
play
process
attempt
dozen
attention
issue
decision
comment
person
straightforward
surprise
disappointment
day
month
sort
situation
spot
view
effort
desire
reaction
company
joke
shock
stop
threat
word
bit
