File,TopicWords,WordScore,TopicNumber
"['1990', '1991', '1992', '1993', '1994']","[['mncs' 'outsourcing' 'competitors' 'competitor' 'ceos' 'automakers'
  'profitability' 'customers' 'consumers' 'suppliers' 'ibm' 'managerial'
  'manufacturing' 'manufacturers' 'companys' 'managing' 'negotiators'
  'consumer' 'salespeople' 'supplier' 'customer' 'firms' 'economics'
  'clients' 'brainstorming' 'tqm' 'ceo' 'components' 'factors'
  'executives' 'cio' 'bundling' 'vendor' 'inventory' 'productivity'
  'incremental' 'profits' 'manage' 'technologies' 'component' 'gm'
  'following' 'develop' 'vendors' 'subsidiary' 'similarly' 'innovative'
  'economies' 'accounting' 'developing']
 ['managerial' 'managing' 'ceos' 'organizational' 'managers' 'executives'
  'management' 'ceo' 'manager' 'mncs' 'cio' 'organization' 'tqm' 'manage'
  'neither' 'brainstorming' 'executive' 'leadership' 'who' 'consultant'
  'gm' 'redesign' 'consultants' 'managements' 'productivity'
  'competitors' 'dominant' 'factor' 'managed' 'negotiators' 'direction'
  'partnership' 'outsourcing' 'subsidiary' 'competitor' 'similar'
  'methodology' 'fewer' 'accounting' 'directors' 'cios' 'whose'
  'cooperative' 'above' 'departments' 'following' 'similarly' 'ibm'
  'factors' 'controls']]","[[0.19215962 0.18877219 0.16916022 0.13933326 0.13389392 0.12919915
  0.12678507 0.12350385 0.1229395  0.12093103 0.11989257 0.11870302
  0.11594421 0.11473703 0.11215645 0.10975827 0.10615168 0.10367505
  0.10360866 0.10230854 0.1020854  0.10086834 0.10060483 0.10048343
  0.09847077 0.0984275  0.09659528 0.09624219 0.09210711 0.09096843
  0.09066882 0.08942801 0.08844776 0.088168   0.08778483 0.08696431
  0.08511226 0.08313238 0.08282192 0.08243564 0.0822449  0.08224218
  0.08196089 0.08188535 0.08097954 0.08088122 0.07989451 0.07955328
  0.07840186 0.07837366]
 [0.23338501 0.2158947  0.18660581 0.18273991 0.17766415 0.17544632
  0.16858622 0.16649908 0.16448757 0.14993028 0.14903183 0.14506814
  0.14326897 0.14249742 0.13036333 0.12702706 0.12434301 0.12324378
  0.12002073 0.11405817 0.11289889 0.11264697 0.11239351 0.11166199
  0.1111896  0.10907289 0.10648007 0.10571645 0.10485984 0.10282926
  0.10243963 0.1023672  0.10084074 0.10063224 0.1003019  0.09923272
  0.09843398 0.0973777  0.09490747 0.09370673 0.09167959 0.09100372
  0.09027389 0.08982281 0.0898058  0.089642   0.08911712 0.08831997
  0.08563436 0.08501592]]",[0 1]
"['1995', '1996', '1997', '1998', '1999']","[['managerial' 'managing' 'organizational' 'mncs' 'ceos' 'executives'
  'competitors' 'managers' 'subcontracting' 'outsource' 'organization'
  'ceo' 'colleagues' 'neither' 'competitor' 'organizing' 'redesign'
  'management' 'outsourcing' 'hierarchical' 'failed' 'manager' 'manage'
  'marketers' 'partnership' 'outsourced' 'productivity' 'who' 'factor'
  'leadership' 'innovative' 'fewer' 'managements' 'subsidiary'
  'designers' 'cio' 'respondents' 'similar' 'involving' 'innovators'
  'collaborative' 'meetings' 'dominant' 'concurrent' 'tacit' 'frameworks'
  'opposed' 'failures' 'incremental' 'subsidiaries']
 ['competitors' 'consumers' 'marketers' 'competitor' 'mncs' 'consumer'
  'manufacturers' 'customers' 'profitability' 'companys' 'economics'
  'concurrent' 'innovators' 'suppliers' 'clients' 'exports' 'outsourcing'
  'profits' 'brands' 'outsource' 'economic' 'profitable' 'wal'
  'providers' 'buyers' 'sourcing' 'competing' 'ceos' 'supplier' 'margin'
  'vendors' 'standardization' 'customer' 'innovative' 'partnership'
  'maximize' 'profit' 'decline' 'manufacturer' 'following' 'factors'
  'compete' 'leveraging' 'retailer' 'failed' 'market' 'demand' 'products'
  'firms' 'similarly']]","[[0.18650156 0.18596064 0.18297505 0.16765568 0.15860681 0.15531507
  0.14931968 0.14750303 0.14567481 0.140923   0.13740861 0.13678767
  0.1364729  0.12933877 0.12833373 0.12808014 0.12441012 0.12426733
  0.1232369  0.12191452 0.12120573 0.12046047 0.11794903 0.11756337
  0.11721823 0.11580087 0.11538812 0.11526097 0.11276481 0.11266578
  0.11242209 0.11010303 0.10968918 0.10920541 0.10861403 0.10819367
  0.10516801 0.10494156 0.10359088 0.10142218 0.10113594 0.10028268
  0.10018226 0.09982664 0.09896483 0.09688167 0.09655346 0.09640013
  0.0962095  0.09610584]
 [0.22311297 0.20556009 0.20164719 0.1858621  0.17922118 0.17668906
  0.16670568 0.15784249 0.15084384 0.13974556 0.13504797 0.13382237
  0.13231182 0.12950255 0.12667874 0.12662247 0.12421761 0.12369896
  0.12279954 0.12271444 0.12201925 0.12128743 0.12118158 0.11970222
  0.11958998 0.11655987 0.11423193 0.11415662 0.11221807 0.11179762
  0.11046568 0.1069525  0.10612185 0.10580561 0.1048214  0.10433499
  0.10417427 0.10363358 0.10342707 0.10339367 0.10317764 0.1008792
  0.10076934 0.1000707  0.09886932 0.0981905  0.09776607 0.09753428
  0.09742913 0.09653895]]",[0 1]
"['2000', '2001', '2002', '2003', '2004']","[['customers' 'consumers' 'marketers' 'clients' 'consumer' 'competitors'
  'customer' 'salespeople' 'entrepreneurial' 'suppliers' 'competitor'
  'client' 'buyers' 'manufacturers' 'providers' 'profitability'
  'companys' 'wal' 'entrepreneurs' 'vendors' 'automakers' 'outsource'
  'erp' 'innovators' 'outsourcing' 'dealers' 'mergers' 'innovate'
  'retailer' 'intermediaries' 'supplier' 'leveraging' 'sellers' 'ceos'
  'managerial' 'sourcing' 'retailers' 'merger' 'vendor' 'crm'
  'outsourced' 'profitable' 'firms' 'economics' 'analysts' 'following'
  'distributors' 'startups' 'users' 'discount']
 ['managerial' 'ceos' 'managers' 'managing' 'executives' 'leadership'
  'organizational' 'ceo' 'management' 'manager' 'leaders' 'competitors'
  'colleagues' 'organization' 'manage' 'mergers' 'leader' 'gm'
  'entrepreneurs' 'productivity' 'competitor' 'cio' 'merger' 'failed'
  'erp' 'entrepreneurial' 'innovate' 'intermediaries' 'outsource' 'fewer'
  'tacit' 'kaizen' 'sustainability' 'executive' 'failure' 'meetings'
  'marketers' 'collaborative' 'innovative' 'factor' 'innovators'
  'direction' 'directors' 'employees' 'neither' 'leading' 'who' 'factors'
  'dominant' 'behaviors']
 ['innovate' 'innovators' 'competitors' 'innovative' 'patent'
  'competitor' 'patents' 'startups' 'entrepreneurial' 'outsource'
  'marketers' 'merger' 'entrepreneurs' 'innovations' 'innovation' 'xerox'
  'startup' 'outsourcing' 'ibm' 'multinationals' 'microsofts' 'mergers'
  'technologies' 'automakers' 'outsourced' 'companys' 'erp' 'partnership'
  'firms' 'hewlett' 'competing' 'enterprise' 'intermediaries'
  'manufacturers' 'ceos' 'collaboration' 'technological' 'develop'
  'enterprises' 'consumers' 'proprietary' 'nokia' 'sustainability'
  'leveraging' 'wireless' 'ventures' 'invested' 'compete' 'ibms'
  'regulatory']
 ['ceos' 'invested' 'shareholders' 'shareholder' 'managerial'
  'accounting' 'analysts' 'executives' 'schwab' 'equity' 'ceo'
  'leveraging' 'valuation' 'earnings' 'leverage' 'investing'
  'profitability' 'investors' 'firms' 'fewer' 'invest' 'mergers' 'gm'
  'managers' 'competitor' 'companys' 'managing' 'stock' 'studied'
  'marketers' 'firm' 'investments' 'economics' 'portfolio' 'automakers'
  'competitors' 'investment' 'profits' 'management' 'restructuring'
  'regulatory' 'benetton' 'similarly' 'billion' 'acquisitions'
  'sustainability' 'consensus' 'similar' 'manager' 'innovate']]","[[0.2288197  0.21939132 0.21913898 0.20759827 0.20679818 0.20109746
  0.19552122 0.18607926 0.16925745 0.16855296 0.16715625 0.15528257
  0.15023273 0.14456217 0.14372797 0.14275488 0.14174879 0.13887233
  0.13831182 0.13798714 0.13750856 0.1375019  0.1363199  0.1333381
  0.13028668 0.12906718 0.12875931 0.12804537 0.1278014  0.12484607
  0.12430494 0.11977858 0.11973957 0.11935735 0.11915183 0.11880228
  0.11741798 0.11642498 0.11417017 0.11354101 0.11290487 0.10960601
  0.10752783 0.10694945 0.10671505 0.10521118 0.10448302 0.10379323
  0.10372413 0.10270745]
 [0.23016074 0.2211037  0.21924618 0.21799484 0.21610354 0.20799917
  0.20227104 0.17527539 0.16739717 0.16676542 0.1609326  0.15764627
  0.15498194 0.15128872 0.14891562 0.14538687 0.14519927 0.13837478
  0.13594243 0.13506223 0.13347733 0.1306771  0.13039903 0.12979172
  0.12891993 0.12847367 0.12735702 0.1267922  0.12599942 0.12255284
  0.12220256 0.12195106 0.12193695 0.12026241 0.11723388 0.117061
  0.11687051 0.11623454 0.11595254 0.11293979 0.11197865 0.11193644
  0.11187202 0.110531   0.11037008 0.10935855 0.10762744 0.10462758
  0.10337131 0.10171843]
 [0.25418973 0.23415083 0.21622579 0.20626664 0.20595744 0.20407212
  0.20018366 0.19523111 0.1887207  0.17130247 0.16937791 0.16790432
  0.16608134 0.16606466 0.1650464  0.1642867  0.15991536 0.15617195
  0.15601274 0.15584671 0.15480867 0.15236527 0.14582728 0.1450797
  0.14236407 0.14157283 0.13972703 0.13957492 0.13077052 0.12837723
  0.12831227 0.12760581 0.12663008 0.125351   0.12533472 0.12277589
  0.12266128 0.12252927 0.12156265 0.12096567 0.11841542 0.11826186
  0.11626764 0.11610264 0.11460587 0.11384182 0.11311014 0.11288634
  0.11246485 0.1120148 ]
 [0.25393444 0.2459937  0.22546878 0.21309543 0.19802123 0.19644652
  0.19018173 0.19015303 0.18512347 0.18076736 0.18075848 0.17943203
  0.17657295 0.16853368 0.16851526 0.16790572 0.16733368 0.16055879
  0.15936333 0.15545541 0.15454087 0.14860006 0.1476917  0.14767769
  0.14161141 0.14018494 0.13769831 0.13660873 0.13577175 0.13410415
  0.13237268 0.13222885 0.13201992 0.13154797 0.13006485 0.13004568
  0.13003398 0.12929125 0.12864327 0.127945   0.1246604  0.12357941
  0.12352045 0.12293848 0.12286454 0.12159967 0.12018279 0.11935111
  0.11917496 0.11877911]]",[0 1 2 3]
"['2005', '2006', '2007', '2008', '2009']","[['ceos' 'executives' 'managerial' 'managers' 'managing' 'leadership'
  'ceo' 'organizational' 'mncs' 'competitors' 'colleagues' 'management'
  'subordinates' 'manager' 'leaders' 'competitor' 'manage' 'antitrust'
  'merger' 'organization' 'fewer' 'executive' 'entrepreneurs' 'marketers'
  'leader' 'collaborative' 'who' 'directors' 'failures' 'consultants'
  'neither' 'accountable' 'shareholders' 'employees' 'respondents'
  'innovate' 'direction' 'productivity' 'leading' 'failed' 'raises'
  'meetings' 'factor' 'majority' 'entrepreneurial' 'innovative'
  'stakeholder' 'shareholder' 'whom' 'partnership']
 ['innovate' 'innovators' 'innovative' 'competitors' 'mncs'
  'entrepreneurial' 'patent' 'patents' 'competitor' 'innovation'
  'antitrust' 'entrepreneurs' 'innovations' 'marketers' 'invested'
  'merger' 'xerox' 'firms' 'ceos' 'companys' 'ibm' 'partnership'
  'ventures' 'breakthrough' 'nokias' 'enterprises' 'collaboration'
  'competing' 'enterprise' 'ceo' 'sustainability' 'outsourcing'
  'managerial' 'compete' 'regulatory' 'outsourced' 'failed'
  'manufacturers' 'executives' 'nokia' 'mit' 'subsidiary' 'shareholders'
  'ethical' 'shareholder' 'acquisition' 'similarly' 'succeed' 'investors'
  'investor']
 ['consumers' 'marketers' 'customers' 'mncs' 'competitors' 'consumer'
  'clients' 'competitor' 'customer' 'entrepreneurial' 'manufacturers'
  'suppliers' 'entrepreneurs' 'companys' 'antitrust' 'outsourcing'
  'innovators' 'providers' 'wal' 'innovate' 'client' 'buyers'
  'outsourced' 'merger' 'ceos' 'managerial' 'supplier' 'brands'
  'sustainability' 'profitability' 'following' 'manufacturer' 'sourcing'
  'innovative' 'similarly' 'followed' 'xerox' 'economics' 'respondents'
  'firms' 'executives' 'whereas' 'nokias' 'failed' 'tended' 'ethical'
  'who' 'demand' 'users' 'enterprise']]","[[0.23329523 0.22313821 0.21893492 0.20450664 0.19921732 0.18372181
  0.18302801 0.16963482 0.16710818 0.16431847 0.16368619 0.16012272
  0.15815471 0.14830393 0.14762247 0.14517437 0.13636734 0.13231082
  0.1306876  0.12757672 0.12649181 0.12550746 0.12547691 0.1244605
  0.12243538 0.12147912 0.12138233 0.12107167 0.11774577 0.11711484
  0.11707927 0.1143622  0.11313805 0.11299048 0.11176202 0.11148737
  0.1111853  0.11117823 0.10998239 0.10981384 0.10977838 0.10941069
  0.10933828 0.10765322 0.10734385 0.10731891 0.10645594 0.10633542
  0.10544159 0.10517569]
 [0.29262185 0.25605422 0.24219424 0.22385868 0.22305721 0.21817684
  0.2157933  0.21084923 0.21019295 0.20809048 0.20511772 0.19177765
  0.1890499  0.17234904 0.16692105 0.16555013 0.1638077  0.16174576
  0.1612141  0.15882546 0.15501319 0.15417594 0.15206882 0.15004124
  0.1492727  0.13825315 0.13656795 0.1355869  0.13399917 0.13278589
  0.12836549 0.1283346  0.1274755  0.12562668 0.12379657 0.12270719
  0.119794   0.11975879 0.11957029 0.11871795 0.11736771 0.1170205
  0.11645204 0.11633723 0.11594079 0.11582509 0.11552032 0.11510961
  0.11489861 0.11462035]
 [0.21623448 0.2103378  0.20754197 0.19987364 0.19682819 0.19588539
  0.18363233 0.16986233 0.16532804 0.15836541 0.15508305 0.15068305
  0.14094742 0.13824812 0.13693325 0.13560072 0.12992315 0.12976585
  0.12841426 0.1282728  0.1261447  0.12364165 0.12161614 0.12137216
  0.11624425 0.11473477 0.11427682 0.1129313  0.11267411 0.11238848
  0.11226194 0.11203312 0.10977136 0.10700266 0.10468131 0.10204639
  0.10174721 0.10145659 0.10077782 0.10039037 0.09925196 0.09783898
  0.09651712 0.09518758 0.09500398 0.0925968  0.0918044  0.09176949
  0.09173085 0.0915856 ]]",[0 1 2]
"['2010', '2011', '2012', '2013', '2014']","[['competitors' 'innovate' 'competitor' 'marketers' 'innovators' 'ceos'
  'innovative' 'managerial' 'companys' 'consumers' 'executives'
  'sustainability' 'managing' 'ceo' 'multinationals' 'firms'
  'partnership' 'outsourcing' 'consumer' 'managers' 'ecosystem'
  'colleagues' 'patent' 'manufacturers' 'ibm' 'similarly' 'failed'
  'innovation' 'organizational' 'customers' 'following' 'innovations'
  'who' 'enterprise' 'collaboration' 'adopters' 'surveyed' 'management'
  'competing' 'similar' 'analysts' 'respondents' 'csr' 'collaborative'
  'suppliers' 'fewer' 'followed' 'opposed' 'leveraging' 'wal']
 ['analytics' 'analytical' 'analysts' 'marketers' 'metrics' 'data'
  'managerial' 'competitor' 'competitors' 'ibm' 'companys' 'ecosystem'
  'surveyed' 'crm' 'innovators' 'analyzing' 'followed' 'managing'
  'innovate' 'billion' 'segments' 'analysis' 'enterprise' 'who'
  'measured' 'benchmarking' 'monitoring' 'leveraging' 'ceos' 'analyze'
  'leverage' 'profitability' 'organizational' 'mba' 'consumers'
  'respondents' 'consumer' 'manage' 'multinationals' 'providers'
  'executives' 'leads' 'following' 'management' 'innovative' 'segment'
  'enhance' 'factor' 'approaches' 'bpo']]","[[0.21821418 0.20213465 0.1952881  0.18642023 0.18315262 0.18032724
  0.17587593 0.16192946 0.15406129 0.15218067 0.15215376 0.14267638
  0.13992631 0.13915099 0.13593505 0.13169678 0.13056618 0.12873308
  0.12520492 0.12441917 0.1242658  0.12375224 0.12270182 0.12176107
  0.1212645  0.11767826 0.11711597 0.11700518 0.11464825 0.11386298
  0.11203519 0.11163297 0.11119054 0.1111084  0.11105798 0.10912611
  0.10825001 0.10812725 0.10781895 0.10675272 0.10672861 0.10667808
  0.10617089 0.10490491 0.10148489 0.09983025 0.09972192 0.09890454
  0.09879108 0.09862962]
 [0.34239942 0.24891399 0.23763284 0.2237675  0.22104579 0.20613228
  0.18274583 0.17966288 0.17706904 0.17127454 0.15228096 0.14959568
  0.14877611 0.14798757 0.14605685 0.14383933 0.14271443 0.13642403
  0.13487265 0.1342474  0.13148561 0.12888774 0.1285237  0.12839365
  0.12789321 0.1274303  0.12734479 0.1272753  0.12638134 0.12555903
  0.12519544 0.1244562  0.12345935 0.1229727  0.12215567 0.12179213
  0.11959163 0.11794218 0.11744987 0.11735474 0.11690496 0.11648618
  0.11647308 0.11583784 0.11560652 0.11458085 0.1123062  0.11177771
  0.10941711 0.10856144]]",[0 1]
"['2015', '2016', '2017', '2018', '2019']","[['managerial' 'colleagues' 'managers' 'ceos' 'executives' 'managing'
  'leadership' 'collaborative' 'organizational' 'respondents'
  'competitors' 'adaptive' 'crowdsourcing' 'marketers' 'agile' 'surveyed'
  'hierarchy' 'ceo' 'analysts' 'fewer' 'productivity' 'management'
  'innovative' 'innovate' 'meetings' 'leaders' 'entrepreneurs' 'manage'
  'collaboration' 'innovators' 'incumbents' 'sustainability' 'similarly'
  'cognitive' 'employees' 'slack' 'biases' 'interviewed' 'behaviors'
  'analytical' 'individuals' 'who' 'manager' 'researchers' 'ecosystem'
  'entrepreneurial' 'algorithms' 'similar' 'approaches' 'majority']
 ['competitors' 'marketers' 'innovate' 'consumers' 'entrepreneurial'
  'innovators' 'unilever' 'startups' 'customers' 'entrepreneurs'
  'consumer' 'innovative' 'companys' 'manufacturers' 'clients'
  'providers' 'suppliers' 'outsourcing' 'startup' 'firms' 'patents'
  'profitability' 'multinationals' 'crowdsourcing' 'patent' 'leveraging'
  'technologies' 'following' 'enterprise' 'customer' 'sustainability'
  'innovations' 'partnership' 'ibm' 'incremental' 'gaap' 'followed'
  'analytics' 'globalization' 'ecosystems' 'ecosystem' 'launched'
  'predictive' 'analysts' 'regulatory' 'develop' 'enterprises' 'uber'
  'ceos' 'agile']
 ['innovate' 'innovators' 'innovative' 'innovation' 'startups'
  'innovations' 'competitors' 'patent' 'entrepreneurial' 'patents'
  'marketers' 'unilever' 'entrepreneurs' 'startup' 'crowdsourcing'
  'agile' 'manufacturers' 'ceos' 'incumbents' 'ibm' 'multinationals'
  'ventures' 'regulatory' 'sustainability' 'companys' 'executives'
  'firms' 'develop' 'partnership' 'consumers' 'incremental' 'competing'
  'outsourcing' 'managerial' 'ceo' 'technologies' 'ecosystems' 'founders'
  'ecosystem' 'collaboration' 'algorithms' 'who' 'enterprise' 'developed'
  'opposed' 'enterprises' 'following' 'designs' 'managing' 'followed']
 ['robots' 'ai' 'automated' 'automation' 'technologies' 'algorithms'
  'cybersecurity' 'innovate' 'crowdsourcing' 'innovative' 'innovators'
  'technological' 'adaptive' 'advanced' 'analysts' 'computers' 'human'
  'outsourcing' 'incremental' 'machines' 'competencies' 'technology'
  'ibm' 'smartphones' 'humans' 'scientists' 'agile' 'researchers'
  'marketers' 'experts' 'workers' 'matrix' 'sophisticated' 'predictive'
  'enhance' 'cognitive' 'patents' 'startups' 'developed' 'ecosystems'
  'analytics' 'uber' 'ceos' 'mit' 'machine' 'intelligent' 'blockchain'
  'algorithm' 'skilled' 'advance']]","[[0.2043918  0.2007361  0.1968937  0.19160093 0.1871649  0.17990662
  0.16069034 0.15940921 0.15649416 0.1539837  0.1527476  0.15257247
  0.15081926 0.14942494 0.14790945 0.14588773 0.14541057 0.1421603
  0.14137214 0.13890156 0.13747317 0.13655975 0.13582791 0.13385895
  0.13281378 0.13255362 0.12859586 0.12852995 0.12765726 0.12672293
  0.12559624 0.12487222 0.12469314 0.12354554 0.1230517  0.12187681
  0.12104584 0.12029484 0.11926305 0.1183809  0.1174352  0.11388451
  0.11279722 0.11250271 0.11203156 0.11188769 0.11122874 0.11113392
  0.11092716 0.11074723]
 [0.21355414 0.2049694  0.1985415  0.19303046 0.18941243 0.18471304
  0.18171217 0.1806699  0.17354974 0.16050297 0.160232   0.15993997
  0.15401527 0.15045466 0.14949623 0.14667861 0.14639817 0.14376083
  0.13858911 0.13360547 0.13085659 0.13077447 0.12905693 0.12896384
  0.12704697 0.12575363 0.1240207  0.12372036 0.11972389 0.11833408
  0.11799475 0.11781156 0.11732543 0.11727272 0.11689148 0.1166357
  0.11608713 0.11592367 0.11502537 0.11449202 0.11290118 0.11278953
  0.11161008 0.11027794 0.11019509 0.10978842 0.10900978 0.10866755
  0.10786387 0.10776313]
 [0.32810092 0.2897135  0.27672455 0.25055557 0.23383506 0.23223776
  0.2220794  0.21491382 0.20644847 0.20542903 0.19311494 0.19306798
  0.1853506  0.17444019 0.16841379 0.16175652 0.15996617 0.15466547
  0.15273672 0.14460808 0.14212257 0.14024816 0.14009339 0.138839
  0.13426913 0.13342898 0.13161874 0.13042372 0.13025467 0.12895526
  0.12882563 0.12789063 0.1275467  0.12501825 0.12402809 0.1227309
  0.12204058 0.12172636 0.12156229 0.1211344  0.12038407 0.11976863
  0.11868407 0.11803897 0.11786781 0.11753056 0.11492084 0.11487184
  0.11311029 0.11157233]
 [0.30115426 0.28142056 0.25581178 0.24813749 0.22963901 0.21838105
  0.20799974 0.19624838 0.192794   0.1861965  0.18479875 0.18181528
  0.17652959 0.16958457 0.16885719 0.16746743 0.1645986  0.16435593
  0.1640231  0.16359925 0.16267799 0.16018124 0.15967068 0.15898271
  0.15856716 0.15659834 0.15590015 0.15556763 0.15421501 0.153721
  0.15344417 0.15265536 0.15114939 0.15073532 0.14860661 0.1473368
  0.14722379 0.14714123 0.14515826 0.14271775 0.1416337  0.13868108
  0.13793918 0.13639411 0.13344434 0.13328019 0.1323875  0.13049766
  0.13021183 0.13019209]]",[0 1 2 3]
"['2020', '2021', '2022']","[['competitors' 'startups' 'innovators' 'innovative' 'startup'
  'entrepreneurs' 'ecosystem' 'consumers' 'ecosystems' 'kpis'
  'sustainability' 'cybersecurity' 'technologies' 'innovation'
  'innovations' 'ceos' 'regulatory' 'manufacturers' 'companys'
  'following' 'launched' 'providers' 'blockchain' 'agile'
  'intermediaries' 'consumer' 'ceo' 'uber' 'incumbents' 'analytics'
  'suppliers' 'collaboration' 'generate' 'develop' 'algorithms'
  'automation' 'executives' 'managing' 'developed' 'compete' 'who'
  'pandemic' 'technological' 'billion' 'leverage' 'esg' 'customers'
  'platforms' 'sustainable' 'collaborative']
 ['colleagues' 'organizational' 'ceos' 'leadership' 'executives'
  'managers' 'innovative' 'managing' 'collaborative' 'competitors'
  'leaders' 'innovators' 'entrepreneurs' 'agile' 'kpis' 'ceo'
  'collaboration' 'productivity' 'organization' 'fewer' 'sustainability'
  'incumbents' 'behaviors' 'leader' 'meetings' 'employees' 'who'
  'startups' 'management' 'failure' 'initiative' 'ecosystem' 'manage'
  'lack' 'individuals' 'similar' 'following' 'employee' 'participants'
  'leading' 'ai' 'workers' 'manager' 'intermediaries' 'similarly'
  'innovation' 'disruptive' 'regulatory' 'approaches' 'startup']]","[[0.23108302 0.20650193 0.20174861 0.18127984 0.16618861 0.15564838
  0.15031263 0.14582291 0.14437748 0.14147675 0.14020377 0.13960211
  0.13868012 0.13858345 0.1375767  0.13749811 0.13555884 0.13467534
  0.13423023 0.13330609 0.13310781 0.13132164 0.12978408 0.12405559
  0.11944143 0.11938518 0.11871754 0.11786376 0.1172604  0.11630522
  0.11555804 0.11301246 0.11125323 0.11047837 0.10909714 0.10804047
  0.10786965 0.10734914 0.10681852 0.10679656 0.10533196 0.10480662
  0.10286786 0.10261986 0.10258526 0.10101406 0.10028256 0.09939627
  0.09823647 0.09659088]
 [0.18743211 0.18679768 0.17921583 0.17849836 0.17472641 0.17433168
  0.17232442 0.17121516 0.16606137 0.16026974 0.15535596 0.15137526
  0.15041113 0.14732048 0.14382131 0.14139113 0.14090657 0.14085123
  0.13842624 0.13627243 0.133375   0.13135232 0.1308954  0.12942405
  0.12479057 0.11922044 0.11744204 0.11740677 0.11344485 0.11203684
  0.11165141 0.10991613 0.10946656 0.10937081 0.10701934 0.1062493
  0.10502753 0.10489973 0.10459716 0.10284817 0.10258444 0.10198803
  0.10181522 0.10166542 0.10051508 0.09823394 0.09682748 0.09546508
  0.09418637 0.0934592 ]]",[0 1]
