fact,71
need,66
sense,61
reason,56
something,55
answer,22
matter,22
opinion,20
mind,15
consideration,14
anything,12
understand,11
consider,11
think,11
feel,11
willingness,11
desire,8
doubt,7
argue,6
thinking,6
mind-set,6
anyone,6
youll,5
explain,4
problem-solving,4
understanding,3
realize,3
decision-making,3
knowledge-sharing,2
appreciate,2
itll,2
self-help,2
clarify,2
know,2
decide,2
suggest,2
relate,2
what-if,1
assumption-to-knowledge,1
know-how,1
how-should-we-address-climate-change,1
think-and-do,1
ethical-product,1
want,1
regard,1
make-or-buy,1
disagree,1
me-too-ism,1
one-size-fits,1
imply,1
