customer-importance
customer-satisfaction
customer-experience
know-how
customer-information
creativity-management
it-investment
understanding
understand
knowledge-work
consider
sense
change-management
decision-making
business-performance
forward-buying
time-to-market
price-performance
competitive-strategy
desire
core-knowledge
new-product
internet-as-opportunity
pay-for-performance
plan-performance
product-market
shared-it-services
regard
made-to-order
easy-to-use
book-to-market
best-practices
doubt
business-process
item-by-item
connect-and-collaborate
reason
trust
information-technology
workplace-resources
it-application
price-sensitivity
mind-set
it-architecture-and-standards
business-model
real-options
something
power-sharing
want
motivation
