outcome
option
justification
initiative
setting
success
ambition
recommendation
choice
concept
advantage
approach
type
sort
concern
idea
effort
kind
question/answer
desire
circumstance
benefit
offer
offering
thanks
implication
change
identifies
good
question
preference
consideration
need
opportunity
specific
purpose
solve
finding
variety
answer
help
source
disadvantage
result
threat
newvantage
mahidhar
problem
right
use
reason
describes
job
issue
set
give
combination
anyone
addition
interest
step
hold
work
design-thinking
us
isnt
way
thing
individual
open-source
information
others
people
example
