yougov
techshop
inception
decade
success
defines
distinguishes
break
year
solve
point
concept
job
brings
day
need
open-source
offer
provide
effort
thinking
problem
represent
doesnt
opportunity
making
work
time
example
help
reality
idea
latter
instance
answer
someone
today
source
danger
question
part
concern
others
mind
sense
belief
person
kind
life
