wait
think
way
opportunity
need
hope
time
advantage
market
course
end
reason
success
year
past
day
bit
market-place
benefit
today
job
future
part
step
choice
result
promise
point
decade
work
addition
post-implementation
understanding
change
break
mistake
example
approach
some-one
demand
marketplace
desire
problem
accountant/one
disadvantage
methodology
accountant
others
