cash
evaluation
experience
difference
consideration
performance-evaluation
price
opportunity
focus
importance
expertise
knowledge
emphasis
cost
impact
time
relevance
objective
basis
attention
approach
question
performance
demand
problem
consider
issue
job
responsibility
decision
better-paying
pay
comparison
discussion
need
topic
context
selection
concern
effort
result
relationship
influence
expense
respect
effect
answer
affect
help
requirement
initiative
change
option
life
lack
work
anticipation
choice
recognition
look
reason
high-technology
relation
cross-referrals
course
situation
recognize
cause
wait
absence
us
matter
surprise
implication
purpose
kind
point
scenario
call
others
part
idea
thing
illustrate
attempt
