lesson
example
idea
learn
thing
anyone
option
change
learning
something
course
problem
work
approach
fact
choice
success
day
instance
case
shift
convince
everything
way
act-and-see
concept
time
kind
preference
advantage
year
opportunity
sense
part
possibility
today
isnt
act
people
mind
turn
matter
webvan
zaras
pindyck
ghemawat
life
